"
",,,,,
,,,,,
Digi-Key,,,,,
,,http://www.digikey.com/,,,
,200,649-95278-101A06LF,Bergstik Headers 2X3P UNSHRD HDR 30 microinch gold,721,144.20
,100,649-95278-101A10LF,Bergstik Headers 2X5P UNSHRD HDR 30 microinch gold,835,83.50
,,ethernet module:,,,
,5,950-WIZ820IO,Ethernet Modules W5200 & MAG JACK ioPLATFORM MODULE,22.39,111.95
,,,,,
,,,,,
,,Jameco,,,
,,http://www.jameco.com,,,
,,transducers:,,,
,10,139492,"SENSOR,ULTRASONIC,40KHZ,TRAN1,REC1,112db/67db,2000pf/VARIOUS 40TR12B-R",7.19,71.90
,25,1956784,"TRANSDUCER,PIEZO,30VAC,75dB, LEADS,0.5-20Hz,SINGLE TONE",2.95,73.75
,,actuators:,,,
,50,1810099,"MOTOR,DC,12VDC,8600RPM,63mA, SHAFT:Dia.0.08 ,0.43 L,14.8TOR",2.49,124.50
,10,232047,"DC MOTOR , 12VDC , 8750MA",4.49,44.90
,10,2138812,"MOTOR,STEP,7VDC/350Ma, 7.5 STEP ANGLE,680 g-cm",7.95,79.50
,10,253471,"MOTOR,DC,GEAR,12V,50/1,120RPM, 1100G-CM,74MA",13.45,134.50
,10,2120479,"MOTOR,STEPPER,BIPOLAR,4VDC/1A 3600 GR-CM,1.8 STEP ANGLE",17.95,179.5
,10,238538,"MOTOR,STEP,12VDC/.4A, 3200 GM-CM",19.95,199.5
,,test leads:,,,
,10,11422,"CABLE ASSEMBLY,RG174,BNC TO MICROHOOK/JAMECO BENCHPRO",3.95,39.50
,10,11464,"CABLE ASSEMBLY,RG174,BNC TO MINIHOOK/JAMECO BENCHPRO",3.95,39.50
,,coax adapters:,,,
,10,11440,"PLUG,BNC/BANANA/JAMECO VALUEPRO",4.49,44.90
,,third hands:,,,
,5,26690,"TOOL,THIRD HAND/VARIOUS 3RD HAND",6.95,34.75
,,,,,
,,Hobby King,,,
,,http://www.hobbyking.com,,,
,10,HK-5320,Ultra-Micro Digital Servo 1.7g/0.05sec/0.075kg,3.77,37.7
,10,HK15178,Analog Servo 10g/1.4kg/0.09s,1.95,19.5
,10,HKSCM9-5,Single Chip Digital Servo (5V) 10g/1.4kg/0.09s,2.99,29.9
,10,HK15138,Standard Analog Servo 38g/4.3kg/0.17s,3.12,31.2
,10,HKSCM16-6,Single Chip Digital Servo (6V) 16g/2.5kg/0.13s,3.64,36.4
,10,939MG,Metal Gear Servo 2.5kg/12.5g/0.14sec,4.37,43.7
